pl_name,hostname,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_bmasse,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_logg,sy_dist
11 Com b,11 Com,2,1,2007,326.03,1.29,,,6165.6,Msini,0.231,,,G8 III,4742,19,2.7,2.31,93.1846
11 Com b,11 Com,2,1,2007,,1.21,,,5434.7,Msini,,,,,,,2.6,,93.1846
11 UMi b,11 UMi,1,1,2009,516.22,1.54,,,3337.07,Msini,0.08,,,K4 III,4340,24.08,1.8,1.6,125.321
11 UMi b,11 UMi,1,1,2009,,1.51,,,3432.4,Msini,,,,,,,1.7,,125.321
11 UMi b,11 UMi,1,1,2009,516.21997,1.53,,,4684.8142,Msini,0.08,,,,4213,29.79,2.78,1.93,125.321
14 And b,14 And,1,1,2008,185.84,0.83,,,1525.5,Msini,0,,,K0 III,4813,11,2.2,2.63,75.4392
14 And b,14 And,1,1,2008,,0.68,,,1017,Msini,,,,,,,1.2,,75.4392
16 Cyg B b,16 Cyg B,3,1,1996,798.5,1.66,,,565.7374,Msini,0.68,,,,5750,1.13,1.08,4.36,21.1397
16 Cyg B b,16 Cyg B,3,1,1996,799.45,1.676,,,556.83537,Msini,0.6832,,,,5711.97,1.16,0.98,4.3,21.1397
16 Cyg B b,16 Cyg B,3,1,1996,798.5,1.681,,,533.9544,Msini,0.681,,,,5674,,0.99,4.36,21.1397
16 Cyg B b,16 Cyg B,3,1,1996,800.8,1.6,,,476.7,Msini,0.634,,,G2.5 V,5760,,1,4.35,21.1397
16 Cyg B b,16 Cyg B,3,1,1996,799.5,1.68,,,533.93,Msini,0.689,,,,5747,1.13,1.03,4.35,21.1397
16 Cyg B b,16 Cyg B,3,1,1996,799.5,1.68,,,533.93,Msini,0.689,,,G3 V,,,,,21.1397
17 Sco b,17 Sco,1,1,2020,578.38,1.45,,,1373.01872,Msini,0.06,,,K3 III,4157,25.92,1.22,1.7,124.953
18 Del b,18 Del,2,1,2008,993.3,2.6,,,3273.5,Msini,0.08,,,G6 III,4979,8.5,2.3,2.82,76.222
18 Del b,18 Del,2,1,2008,,2.54,,,3127.3,Msini,,,,,,,2.1,,76.222
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,2008,,330,18.647,2543,2543,Mass,,,1800,K7 V,4060,1.35,0.85,,139.135
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,2008,,330,,4000,4000,Mass,,,1700,,4060,,0.85,,139.135
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,2008,,330,,3000,3000,Mass,,,1700,K7 V,4060,,0.85,,139.135
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,2008,,330,,3000,3000,Mass,,,1800,,3993,1.31,0.62,4,139.135
24 Boo b,24 Boo,1,1,2018,30.3506,0.19,,,289.2253,Msini,0.042,,,G3 IV,4893,10.64,0.99,2.42,95.9863
2M0437 b,2MASS J04372171+2651014,1,1,2021,,118,,1271.31363,1271.31363,Mass,,,1450,M V,3100,0.84,0.17,4.5,128.484
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,2013,,84,,4131.79,4131.79,Mass,,,,M5.5/M6,,,0.19,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,2013,,,11.209,,,,,,1600,,3309,0.37,0.35,4.86,33.8281
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,2013,,52,,7786.5,7786.5,Mass,,,,M3.5 V,3530,,0.4,,33.8281
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,2015,,156,16.141,4417.837,4417.837,Mass,,,,M6,3064,0.28,0.11,4.59,
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,2010,,15,,2383.6,2383.6,Mass,,,,M8.5,,,0.02,,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,2004,,46,,1271,1271,Mass,,,1150,,2825,0.22,0.19,5.03,64.308
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,2004,,55,,1589.15,1589.15,Mass,,,1250,M8,,,0.02,,64.308
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,2009,7336.5,,10.31,6657.48,6657.48,Mass,0.26,,2075,M8.5,2300,0.12,0.08,,
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,2016,,230,,3972.875,3972.875,Mass,,,,K7 V,4045,,0.6,,69.5737
30 Ari B b,30 Ari B,4,1,2009,345.4,1.01,,,2097.678,Msini,0.18,,,,,1.13,1.16,,44.657
30 Ari B b,30 Ari B,4,1,2009,335.1,0.995,,,3140.03,Msini,0.289,,,F6 V,6300,1.13,1.16,4.5,44.657
30 Ari B b,30 Ari B,4,1,2009,335.10001,0.99,,,4392.4106,Msini,0.29,,,,6331,1.41,1.93,4.43,44.657
4 UMa b,4 UMa,1,1,2006,269.3,0.87,,,2256.5,Msini,0.432,,,K1 III,4415,18.11,1.23,1.8,73.4603
42 Dra b,42 Dra,2,1,2008,479.1,1.19,,,1233.13,Msini,0.38,,,K1.5 III,4200,22.03,0.98,1.71,90.6545
51 Eri b,51 Eri,3,1,2015,14965,14,,,,,0.21,,,,7295,1.49,1.65,4.31,29.7575
51 Eri b,51 Eri,3,1,2015,,13.2,,635.66,635.66,Mass,,,700,F0 IV,,,1.75,,29.7575
51 Eri b,51 Eri,3,1,2015,11688,12,,,,,0.45,,,,7295,1.49,1.65,4.31,29.7575
51 Peg b,51 Peg,1,1,1995,4.230785,0.0527,,,150.009,Msini,0.013,,,,5758,1.18,1.03,4.31,15.4614
51 Peg b,51 Peg,1,1,1995,4.23077,0.052,,,148.738,Msini,0,,,,,,,,15.4614
51 Peg b,51 Peg,1,1,1995,4.2293,,,,149.3801,Msini,0,,,,5773,1.29,,4.32,15.4614
51 Peg b,51 Peg,1,1,1995,4.2307969,0.05235,,,147.47238,Msini,0.0042,,,,5760.76,1.19,1.07,4.32,15.4614
51 Peg b,51 Peg,1,1,1995,4.231,0.052,,146.2018,146.2018,Mass,0,,,,,,1.04,,15.4614
6 Lyn b,6 Lyn,1,1,2008,934.3,2.11,,,638.8383,Msini,0.073,,,,4938,5.2,1.44,3.19,54.6599
6 Lyn b,6 Lyn,1,1,2008,874.774,2.18,,,702.4043,Msini,0.125,,,,,5.2,1.82,,54.6599
6 Lyn b,6 Lyn,1,1,2008,899,2.2,,,762.8,Msini,0.134,,,K0 IV,4978,5.2,1.7,3.16,54.6599
70 Vir b,70 Vir,1,1,1996,116.688,0.481,,,2357.02728,Msini,0.3988,,,,5495,1.89,1.09,3.95,17.9011
70 Vir b,70 Vir,1,1,1996,116.6884,0.48,,,2421.8646,Msini,0.4,,,,5531,1.84,1.14,3.97,17.9011
70 Vir b,70 Vir,1,1,1996,116.6926,0.481,,,2351.942,Msini,0.399,,,,5439,1.94,1.09,3.9,17.9011
70 Vir b,70 Vir,1,1,1996,116.689,0.456,,,2084.88,Msini,0.397,,,,,,,,17.9011
70 Vir b,70 Vir,1,1,1996,116.6884,0.484,,2380.45,2380.45,Mass,0.4007,,,,5545,,1.11,4.07,17.9011
70 Vir b,70 Vir,1,1,1996,116.69335,0.4765,,,2297.89938,Msini,0.3989,,,,5481.86,1.92,1.06,3.89,17.9011
75 Cet b,75 Cet,2,1,2012,691.9,2.1,,,953.49,Msini,0.117,,,G3 III,4846,10.5,2.49,2.63,82.9613
8 UMi b,8 UMi,1,1,2015,93.4,0.49,,,476.745,Msini,0.06,,,K0,4847.4,9.9,1.8,2.57,162.552
8 UMi b,8 UMi,1,1,2015,93.4,0.49,,,416.3573,Msini,0.06,,,,4847,10.3,1.44,2.57,162.552
81 Cet b,81 Cet,1,1,2008,,2.17,,,1274.4,Msini,,,,,,,1.6,,101.26
81 Cet b,81 Cet,1,1,2008,952.7,2.5,,,1684.4,Msini,0.206,,,G5 III,4785,11,2.4,2.35,101.26
91 Aqr b,91 Aqr,3,1,2013,181.4,0.7,,,1017,Msini,0.027,,,K0 III,4665,11,1.4,2.52,44.0304
AB Aur b,AB Aur,1,1,2022,,93.9,,2860.45566,2860.45566,Mass,0.4,,,,9770,,2.4,,162.127
AB Pic b,AB Pic,1,1,2005,,260,,4290.5,4290.5,Mass,,,,K2 V,,,,,50.0475
BD+03 2562 b,BD+03 2562,1,1,2017,481.9,1.3,,,2034.112,Msini,0.2,,,,4095,32.35,1.14,1.89,1070.63
BD+14 4559 b,BD+14 4559,1,1,2009,268.94,0.78,,,330.5432,Msini,0.29,,,,4864,0.86,0.49,4.26,49.352
BD+14 4559 b,BD+14 4559,1,1,2009,268.94,0.777,,,467.19,Msini,0.29,,,K2 V,5008,0.95,0.86,4.6,49.352
BD+15 2375 b,BD+15 2375,1,1,2016,153.22,0.576,,,337.21763,Msini,0.001,,,,4649,8.95,1.08,2.61,768.045
BD+15 2940 b,BD+15 2940,1,1,2013,137.48,0.539,,,352.78,Msini,0.26,,,K0,4796,14.7,1.1,2.8,426.42
BD+20 274 b,BD+20 274,1,1,2012,578.2,1.3,,,1334.886,Msini,0.21,,,K5 III,4296,17.3,0.8,1.99,1322.51
BD+20 594 b,BD+20 594,1,1,2016,41.6855,0.241,2.23,16.3,16.3,Mass,0,,546,G,5766,0.93,0.96,4.5,179.461
BD+20 594 b,BD+20 594,1,1,2016,41.688644,,2.355,,,,,,,,5703,0.96,0.96,4.38,179.461
BD+20 594 b,BD+20 594,1,1,2016,41.6855,,2.578,22.2481,22.2481,Mass,0,,,,5766,1.08,1.67,4.5,179.461
BD+45 564 b,BD+45 564,1,1,2021,307.88,0.83,,,432.24663,Msini,0.12,,,K1,5004,,0.81,4.22,53.622
BD+48 738 b,BD+48 738,1,1,2011,392.6,1,,,289.2253,Msini,0.2,,,K0 III,4414,11,0.74,2.24,871.493
BD+48 740 b,BD+48 740,1,1,2018,733,1.7,,,540.311,Msini,0.76,,,,4534,10.33,1.09,2.48,666.589
BD+49 828 b,BD+49 828,1,1,2015,2590,4.2,,,508.5,Msini,0.35,,,K0,4943,7.6,1.52,2.85,442.042
BD+55 362 b,BD+55 362,1,1,2021,265.59,0.78,,,228.83645,Msini,0.27,,,K3,5012,,0.91,4.09,52.5697
BD+60 1417 b,BD+60 1417,1,1,2021,,1662,14.684,4767.4261,4767.4261,Mass,,,1303,K0,4993,0.8,1,4.55,44.9543
BD+63 1405 b,BD+63 1405,1,1,2021,1198.48,2.06,,,1258.60049,Msini,0.88,,,K0,5000,,0.82,4.2,38.0473
BD-00 4475 b,BD-00 4475,1,1,2021,723.2,1.48,,,7961.6016,Msini,0.39,,,G0,5040,,0.81,4.25,42.6402
BD-10 3166 b,BD-10 3166,1,1,2000,3.48777,0.0452,,,145.56,Msini,0.019,,,,5393,,1.01,4.68,84.4069
BD-10 3166 b,BD-10 3166,1,1,2000,3.487,0.046,,,152.55,Msini,0.05,,,K0 V,5400,,1.1,4.4,84.4069
BD-10 3166 b,BD-10 3166,1,1,2000,3.48777,0.04,,,187.5197,Msini,0.02,,,,5393,0.91,1.47,4.69,84.4069
BD-10 3166 b,BD-10 3166,1,1,2000,3.487905,0.045,,,142.70495,Msini,0.022,,,,5382.64,0.97,1,4.46,84.4069
BD-13 2130 b,BD-13 2130,1,1,2007,714.29999,1.66,,,3108.3774,Msini,0.21,,,,4545,19.17,2.12,2.2,925.214
BD-13 2130 b,BD-13 2130,1,1,2007,714.3,2.1,,,3368.998,Msini,0.21,,,,,,2.4,,925.214
BD-17 63 b,BD-17 63,1,1,2008,655.6,1.34,,,1620.9,Msini,0.54,,,K5 V,4714,0.69,0.74,4.26,34.4603
BD-17 63 b,BD-17 63,1,1,2008,655.59998,1.34,,,905.8155,Msini,0.54,,,,4665,0.74,0.31,4.19,34.4603
CD Cet b,CD Cet,1,1,2020,2.2907,0.0185,,,3.95,Msini,,8.6,464,M5.0 V,3130,0.17,0.16,4.93,8.60715
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,2011,10037.5,2.6,,3337.1,3337.1,Mass,,,370,,580.5,,0.02,4.72,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,2021,8040000,200,20.849,2479.06157,2479.06157,Mass,,,1800,M9-L1,2320,0.24,0.01,3.85,
CHXR 73 b,CHXR 73,1,1,2006,,210,,3994.486,3994.486,Mass,,,,M3.5,,,0.35,,190.374
CI Tau b,CI Tau,1,1,2019,8.9891,,,3686.828,3686.828,Mass,0.25,,,K7,,,0.9,,157.998
COCONUTS-2 b,COCONUTS-2 A,1,1,2021,402000000,7506,12.442,2002.31896,2002.31896,Mass,,,434,M3 V,3406,0.39,0.37,4.83,10.8864
CT Cha b,CT Cha,1,1,2007,,440,24.66,5403,5403,Mass,,,2600,,,,,,190.72
CoRoT-1 b,CoRoT-1,1,1,2008,1.5089635,,20.594,,,,,2852.63,2036,,5950,1.29,,4.33,787.909
CoRoT-1 b,CoRoT-1,1,1,2008,1.50897655,0.0259,15.917,340.0781,340.0781,Mass,0.071,,1834,,5950,,,4.25,787.909
CoRoT-1 b,CoRoT-1,1,1,2008,1.5089686,0.02536,17.385,327.3649,327.3649,Mass,,,1915,,5950,1.13,0.95,4.31,787.909
CoRoT-1 b,CoRoT-1,1,1,2008,1.5089557,,16.7,327.35,327.35,Mass,0,,1898,G0 V,5950,1.11,0.95,4.25,787.909
CoRoT-1 b,CoRoT-1,1,1,2008,1.5089682,0.02752,19.223,390.9309,390.9309,Mass,0.036,,,,6298,1.23,1.22,,787.909
CoRoT-1 b,CoRoT-1,1,1,2008,1.5089557,0.0261,16.589,359.1479,359.1479,Mass,0,,,,5950,1.14,1.03,,787.909
CoRoT-10 b,CoRoT-10,1,1,2010,13.2406,0.106,10.548,883.5674,883.5674,Mass,,,647,,5075,0.74,0.9,4.65,338.386
CoRoT-10 b,CoRoT-10,1,1,2010,13.2406,0.1055,10.87,874,874,Mass,0.53,,600,K1 V,5075,0.79,0.89,4.65,338.386
CoRoT-10 b,CoRoT-10,1,1,2010,13.2406,0.1055,10.873,867.6759,867.6759,Mass,0.524,,,,5075,0.79,0.89,,338.386
CoRoT-11 b,CoRoT-11,1,1,2010,2.994325,0.04351,15.581,791.3967,791.3967,Mass,0,,1715,,,1.33,1.23,,655.037
CoRoT-11 b,CoRoT-11,1,1,2010,,,,,,,,,,,6343,1.36,1.56,4.27,655.037
CoRoT-11 b,CoRoT-11,1,1,2010,2.99433,0.0436,16.03,740.51,740.51,Mass,0,,1657,F6 V,6440,1.37,1.27,4.22,655.037
CoRoT-11 b,CoRoT-11,1,1,2010,2.994325,0.04407,16.029,832.7146,832.7146,Mass,0.36,,,,6440,1.37,1.27,,655.037
CoRoT-11 b,CoRoT-11,1,1,2010,2.99433,0.044,15.984,743.7222,743.7222,Mass,,,1735,,6440,1.37,1.26,4.26,655.037
CoRoT-12 b,CoRoT-12,1,1,2010,2.82805268,0.0392,15.065,277.46559,277.46559,Mass,,,1417,,,1.05,1,4.38,1126.37
CoRoT-12 b,CoRoT-12,1,1,2010,2.82803915,,17.76,,,,,661.13,1293,,5675,1.04,,4.37,1126.37
CoRoT-12 b,CoRoT-12,1,1,2010,2.828042,0.04016,16.14,291.438,291.438,Mass,0.07,,1442,,5675,1.12,1.08,4.38,1126.37
CoRoT-12 b,CoRoT-12,1,1,2010,2.828041,,,,,,,,,,5675,1.12,1.08,4.38,1126.37
CoRoT-12 b,CoRoT-12,1,1,2010,2.828042,0.0394,15.132,281.91521,281.91521,Mass,,,1410,,5675,1.05,1.02,4.41,1126.37
CoRoT-12 b,CoRoT-12,1,1,2010,2.828042,0.04013,16.141,290.81445,290.81445,Mass,0.05,,,,5675,1.12,1.08,,1126.37
CoRoT-13 b,CoRoT-13,1,1,2010,4.03515,,,,,,,,,G0 V,5945,1.01,1.09,4.46,1148.93
CoRoT-13 b,CoRoT-13,1,1,2010,4.03519,0.051,14.034,416.99296,416.99296,Mass,,,1432,,5945,1.27,1.09,4.26,1148.93
CoRoT-13 b,CoRoT-13,1,1,2010,4.03519,0.05107,9.92,423.03173,423.03173,Mass,0.067,,,,5945,1.01,1.09,,1148.93
CoRoT-13 b,CoRoT-13,1,1,2010,4.03504444,,12.533,,,,,546.53,1233,,5945,1.14,,4.47,1148.93
CoRoT-13 b,CoRoT-13,1,1,2010,4.03519,0.051,9.92,415.704,415.704,Mass,0,,1700,G0 V,5945,1.01,1.09,4.46,1148.93
CoRoT-14 b,CoRoT-14,1,1,2010,1.51214,0.02691,12.218,2358.2986,2358.2986,Mass,0.036,,,,6040,1.21,1.13,,1744.6
CoRoT-14 b,CoRoT-14,1,1,2010,1.51214,0.027,12.22,2415.4,2415.4,Mass,0,,1952,F9 V,6035,1.21,1.13,4.35,1744.6
CoRoT-14 b,CoRoT-14,1,1,2010,1.51214,0.02687,11.411,2437.7561,2437.7561,Mass,,,1936,,6035,1.19,1.12,4.34,1744.6
CoRoT-16 b,CoRoT-16,1,1,2011,5.35227,0.0618,13.115,168.13207,168.13207,Mass,0.37,,,,5650,1.19,1.1,,732.409
CoRoT-16 b,CoRoT-16,1,1,2011,5.35227,0.0618,13.11,170.032,170.032,Mass,0.33,,,G5 V,5650,1.19,1.1,4.36,732.409
CoRoT-17 b,CoRoT-17,1,1,2011,3.7681,0.0461,11.43,772.29,772.29,Mass,0,,1626,G2 V,5740,1.59,1.04,4.4,1176.12
CoRoT-17 b,CoRoT-17,1,1,2011,3.7681,0.0481,11.433,765.9703,765.9703,Mass,0.081,,,,5740,1.59,1.04,,1176.12
CoRoT-17 b,CoRoT-17,1,1,2011,3.7681,0.0481,11.287,781.8618,781.8618,Mass,,,1610,,5740,1.62,1.04,4.04,1176.12
CoRoT-18 b,CoRoT-18,1,1,2011,1.90008625,,15.05,,,,,823.7,1366,,5440,0.93,,4.42,764.889
CoRoT-18 b,CoRoT-18,1,1,2011,1.9000693,0.0295,14.684,1099.6918,1099.6918,Mass,0.025,,,,5440,1,0.95,,764.889
CoRoT-18 b,CoRoT-18,1,1,2011,1.9000693,0.0295,14.68,1102.82,1102.82,Mass,0.08,,1550,G9 V,5440,1,0.95,4.4,764.889
CoRoT-18 b,CoRoT-18,1,1,2011,1.90009,0.0288,12.846,1048.839,1048.839,Mass,,,1487,,,0.88,0.88,4.49,764.889
CoRoT-18 b,CoRoT-18,1,1,2011,1.9000769,,,,,,,,,G9 V,5440,1,0.95,4.4,764.889
CoRoT-18 b,CoRoT-18,1,1,2011,1.9000693,0.0286,14.022,1039.3041,1039.3041,Mass,,,1490,,5440,0.92,0.86,4.44,764.889
CoRoT-19 b,CoRoT-19,1,1,2011,3.89712026,,13.493,,,,,1103.81,1470,,6090,1.64,,4.09,790.663
CoRoT-19 b,CoRoT-19,1,1,2011,3.89713,0.05166,14.46,367.09365,367.09365,Mass,0.056,,,,6090,1.65,1.21,,790.663
CoRoT-19 b,CoRoT-19,1,1,2011,3.89713,0.0512,13.339,346.4347,346.4347,Mass,,,1630,,6090,1.58,1.18,4.12,790.663
CoRoT-19 b,CoRoT-19,1,1,2011,3.89713,0.0518,14.46,352.78,352.78,Mass,0.047,,2000,F9 V,6090,1.65,1.21,4.07,790.663
CoRoT-19 b,CoRoT-19,1,1,2011,3.897131,,,,,,,,,F9 V,6090,1.65,1.21,4.07,790.663
CoRoT-2 b,CoRoT-2,2,1,2008,1.7429935,0.02854,16.477,1150.5446,1150.5446,Mass,,,1548,,5696,0.91,1.02,4.53,213.283
CoRoT-2 b,CoRoT-2,2,1,2008,1.7429964,0.0281,16.421,1051.973,1051.973,Mass,0,,,,,,,,213.283
CoRoT-2 b,CoRoT-2,2,1,2008,1.74299673,,,,,,,,,,5529,0.94,0.97,4.48,213.283
CoRoT-2 b,CoRoT-2,2,1,2008,1.7429975,,15.85,1052.0173,1052.0173,Mass,0,,1535,,5625,0.9,0.97,4.3,213.283
CoRoT-2 b,CoRoT-2,2,1,2008,1.7429935,0.02835,16.365,1134.6531,1134.6531,Mass,,,1521,,5598,0.9,1,4.53,213.283
CoRoT-2 b,CoRoT-2,2,1,2008,1.74299673,0.0281,16.432,1048.839,1048.839,Mass,0.024,,,,5625,0.9,0.97,,213.283
CoRoT-2 b,CoRoT-2,2,1,2008,1.742997,,,,,,,,,,5696,,,4.42,213.283
CoRoT-2 b,CoRoT-2,2,1,2008,1.74299609,,16.533,,,,,,,,5575,,,,213.283
CoRoT-2 b,CoRoT-2,2,1,2008,1.7429935,0.02798,16.432,1102.82,1102.82,Mass,0.0143,,,,5625,0.91,0.96,,213.283
CoRoT-21 b,CoRoT-21,1,1,2012,2.72474,0.0417,14.572,718.2958,718.2958,Mass,0,,,F8 IV,6200,1.95,1.29,3.7,
CoRoT-21 b,CoRoT-21,1,1,2012,2.72474,0.0416,14.572,705.5826,705.5826,Mass,0.39,,,,6200,1.95,1.29,,
CoRoT-22 b,CoRoT-22,1,1,2014,9.75598,0.092,4.88,12.2,12.2,Mass,0.077,,885,G3 V,5939,1.14,1.1,4.36,627.158
CoRoT-23 b,CoRoT-23,1,1,2011,3.6313,0.048,11.77,889.9,889.9,Mass,0.16,,1660,G0 V,5900,1.61,1.14,4.3,1060.97
CoRoT-23 b,CoRoT-23,1,1,2011,3.6313,0.04809,13.227,972.5598,972.5598,Mass,,,1710,,5900,1.74,1.12,4.01,1060.97
CoRoT-23 b,CoRoT-23,1,1,2011,3.6313,0.0484,11.769,982.0947,982.0947,Mass,0.16,,,,5900,1.61,1.14,,1060.97
CoRoT-25 b,CoRoT-25,1,1,2013,4.86069,0.05789,12.106,93.12419,93.12419,Mass,0.22,,,,6040,1.19,1.09,,1103.48
CoRoT-25 b,CoRoT-25,1,1,2013,4.86069,0.0578,12.11,85.81,85.81,Mass,0,,1330,F9,6040,1.19,1.09,4.31,1103.48
CoRoT-26 b,CoRoT-26,1,1,2013,4.20474,0.0525,14.123,184.3414,184.3414,Mass,0.41,,,,5590,1.79,1.09,,1045.18
CoRoT-26 b,CoRoT-26,1,1,2013,4.20474,0.0526,14.12,165.26,165.26,Mass,0,,1600,G5,5590,1.79,1.09,3.99,1045.18
CoRoT-27 b,CoRoT-27,1,1,2014,3.57532,0.0467,11.287,3273.649,3273.649,Mass,0.034,,,,5900,1.08,1.05,,1010.28
CoRoT-27 b,CoRoT-27,1,1,2014,3.57532,0.0476,11.287,3302.11,3302.11,Mass,0.065,,1500,G2,5900,1.08,1.05,4.4,1010.28
CoRoT-28 b,CoRoT-28,1,1,2015,5.20851,0.0603,10.705,153.82972,153.82972,Mass,0.047,,,G8/9 IV,5150,1.78,1.01,3.6,766.183
CoRoT-28 b,CoRoT-28,1,1,2015,5.20851,0.059,10.705,152.87623,152.87623,Mass,0.071,,,,5150,1.78,1.01,,766.183
CoRoT-29 b,CoRoT-29,1,1,2015,2.8505615,,,,,,,,,,5268,1.08,0.9,4.33,806.507
CoRoT-29 b,CoRoT-29,1,1,2015,2.85057,0.039,10.088,266.9772,266.9772,Mass,0.12,,,,5260,0.9,0.97,,806.507
CoRoT-29 b,CoRoT-29,1,1,2015,2.85057,0.0386,10.088,270.1555,270.1555,Mass,0.082,,,K0 V,5260,0.9,0.97,4.3,806.507
CoRoT-3 b,CoRoT-3,1,1,2008,4.2568,,11.32,6883.91,6883.91,Mass,0,,,F3 V,6740,1.56,1.37,4.22,768.771
CoRoT-3 b,CoRoT-3,1,1,2008,4.2567994,0.05694,11.135,6747.5309,6747.5309,Mass,0.008,,,,,1.54,1.36,,768.771
CoRoT-3 b,CoRoT-3,1,1,2008,4.2567994,0.0574,11.321,6814.2752,6814.2752,Mass,0.016,,,,6740,1.56,1.37,,768.771
CoRoT-3 b,CoRoT-3,1,1,2008,,,,,,,,,,,6558,1.44,1.41,4.25,768.771
CoRoT-3 b,CoRoT-3,1,1,2008,4.2567994,0.05783,11.624,6979.5468,6979.5468,Mass,,,1695,,6740,1.57,1.4,4.19,768.771
CoRoT-30 b,CoRoT-30,1,1,2020,9.06005,0.0844,11.31,921.707,921.707,Mass,0.007,,,G3 V,5650,0.91,0.98,4.4,1032.23
CoRoT-31 b,CoRoT-31,1,1,2020,4.62941,0.0586,16.365,266.9772,266.9772,Mass,0.02,,,G2 IV,5700,2.15,1.25,3.85,2005.76
CoRoT-35 b,CoRoT-35,1,1,2022,3.22748,0.0429,18.831,349.61125,349.61125,Mass,0,,1747,F6 V,6390,1.65,1.01,4.01,1123.21
CoRoT-36 b,CoRoT-36,1,1,2022,5.616531,0.066,15.805,216.12332,216.12332,Mass,0,,1567,F3 V,6730,1.52,1.32,4.16,925.958
CoRoT-4 b,CoRoT-4,1,1,2008,9.20205,0.09025,13.339,223.43449,223.43449,Mass,0.14,,,,6190,1.17,1.16,,726.412
CoRoT-4 b,CoRoT-4,1,1,2008,9.20164964,,13.437,,,,,203.95,964,,6190,1.12,,4.37,726.412
CoRoT-4 b,CoRoT-4,1,1,2008,9.20205,0.09,13.34,228.83,228.83,Mass,0,,1074,,6190,1.17,1.16,4.41,726.412
CoRoT-4 b,CoRoT-4,1,1,2008,9.20205,0.0912,13.002,232.33373,232.33373,Mass,,,1058,,6190,1.15,1.19,4.4,726.412
CoRoT-5 b,CoRoT-5,1,1,2009,4.0378962,0.04963,15.558,151.92274,151.92274,Mass,0.087,,,,6100,1.19,1,,882.472
CoRoT-5 b,CoRoT-5,1,1,2009,4.03790124,,18.383,,,,,786.29,1351,,6100,1.27,,4.29,882.472
CoRoT-5 b,CoRoT-5,1,1,2009,4.0379156,0.0495,14.079,145.88397,145.88397,Mass,,,1397,,,1.11,0.99,4.34,882.472
CoRoT-5 b,CoRoT-5,1,1,2009,4.0378962,0.05004,13.249,149.3801,149.3801,Mass,,,1348,,6100,1.05,1.02,4.41,882.472
CoRoT-5 b,CoRoT-5,1,1,2009,4.0378962,0.04947,15.558,148.42,148.42,Mass,0.09,,1438,F9 V,6100,1.19,1,4.19,882.472
CoRoT-6 b,CoRoT-6,1,1,2009,8.886593,0.0854,13.07,937.5985,937.5985,Mass,0.18,,,,6090,1.02,1.05,,645.294
CoRoT-6 b,CoRoT-6,1,1,2009,8.886593,0.0855,13.068,940.74,940.74,Mass,0.1,,1017,F9 V,6090,1.02,1.05,4.43,645.294
CoRoT-6 b,CoRoT-6,1,1,2009,8.886593,0.0855,13.283,940.7768,940.7768,Mass,,,1025,,6090,1.04,1.05,4.42,645.294
CoRoT-8 b,CoRoT-8,1,1,2010,6.212445,0.0636,6.938,69.28694,69.28694,Mass,,,870,,,0.8,0.89,4.58,322.037
CoRoT-8 b,CoRoT-8,1,1,2010,6.212381,0.06339,6.389,69.28694,69.28694,Mass,0.19,,,,5080,0.77,0.88,,322.037
CoRoT-8 b,CoRoT-8,1,1,2010,6.21229,0.063,6.39,69.92,69.92,Mass,0,,,K1 V,5080,0.77,0.88,4.58,322.037
CoRoT-8 b,CoRoT-8,1,1,2010,6.21229,0.0633,7.981,68.65128,68.65128,Mass,,,922,,5080,0.9,0.88,4.47,322.037
CoRoT-9 b,CoRoT-9,2,1,2009,95.272656,0.4029,11.949,268.88418,268.88418,Mass,0.134,,,,5625,0.96,0.96,,412.98
CoRoT-9 b,CoRoT-9,2,1,2009,95.272656,0.4021,11.949,266.9772,266.9772,Mass,0.133,,420,,5625,0.96,0.96,4.54,412.98
CoRoT-9 b,CoRoT-9,2,1,2009,95.2738,0.407,11.77,266.97,266.97,Mass,0.11,,,G3 V,5625,0.94,0.99,4.54,412.98
CoRoT-9 b,CoRoT-9,2,1,2009,95.2738,0.4027,11.624,262.52758,262.52758,Mass,,,413,,5625,0.94,0.96,4.48,412.98
CoRoTID 223977153 b,CoRoTID 223977153,1,1,2017,6.71837,0.071,6.389,47.6745,47.6745,Mass,,132.26,938,G0 VI,5970,0.79,1.08,4.67,576.683
